ID	Start time	Completion time	Email	Name	Gender	Level/Year	Age	Your cumulative average (GPA)	Before COVID-19: Which of the following digital tools do you usually use?	After COVID-19: Which of the following digital tools do you usually use?	Before COVID-19: How much time do you spend using the digital tools in learning?	After COVID-19: How much time do you spend using the digital tools in learning?	Before COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.	After COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.	Before COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.	After COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.	Before COVID-19: I have fixed hours for bedtime and wake-up. 	After COVID-19: I have fixed hours for bedtime and wake-up. 	Before COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.	After COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.	Before COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting	After COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting	The distance learning system, caused by the COVID-19 epidemic, resulted in social distancing.	Prolonged use of digital tools (mobile, laptop, i-pad) causes students’ isolation 	University learning contributes to strengthening the social personality of students.	Staying home for long periods of time leads to lethargy and laziness.	Prolonged use of e-learning tools often leads to boredom, nervousness, and tension.	The psychological element is a key factor in the success of the educational process.	Some students cannot afford buying all necessary digital tools, which is embarrassing and frustrating.	I don’t recommend continuing with the online learning model because it is socially and psychologically unhealthy.	Measures of lockdown, closures, and quarantine, brought by COVID-19 caused stress, frustration, and depression.	Use of digital learning tools is responsible for my low academic performance.	The volume of assignments via e-learning led to confusion, frustration and poor performance. 	Face-to-face interaction contributes significantly to boosting students’ academic achievement.	Taking quizzes and exams online from home was not comfortable and made me nervous.	Stress
202	6-12-20 21:55:46	6-12-20 22:00:14	anonymous		Female	Third/Junior	18-24	70-79 / 2.5-299	Laptop	Laptop	1-3 	6-9	Agree	Strongly Agree	Uncertain	Strongly Agree	Uncertain	Disagree	Disagree	Strongly Agree	Disagree	Strongly Agree	"Agree	"	Strongly Agree	Disagree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Uncertain	Disagree	Strongly Disagree	Uncertain	Strongly Disagree	0
203	6-12-20 21:56:09	6-12-20 22:00:14	anonymous		Female	First/Freshman	18-24	70-79 / 2.5-299	Mobile phone	Mobile phone	6-9	9-12	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
204	6-12-20 21:55:11	6-12-20 22:00:15	anonymous		Male	Third/Junior	25-30	80-89 / 3-3.49	I pad/ Tablet	I pad/ Tablet	1-3 	3-6	Agree	Agree	Agree	Uncertain	Agree	Agree	Disagree	Disagree	Disagree	Disagree	"Uncertain	"	"Uncertain	"	"Uncertain	"	"Agree	"	Disagree	Agree	Agree	Disagree	Agree	Agree	Strongly Agree	Strongly Agree	Disagree	0
205	6-12-20 21:58:00	6-12-20 22:03:04	anonymous		Female	First/Freshman	18-24	80-89 / 3-3.49	Laptop	Laptop	1-3 	6-9	Disagree	Strongly Agree	Agree	Uncertain	Uncertain	Agree	Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Disagree	"Agree	"	Strongly Agree	Agree	Uncertain		Agree	Disagree	Agree	Strongly Agree	Disagree	1
206	6-12-20 21:59:00	6-12-20 22:03:42	anonymous		Female	First/Freshman	18-24	80-89 / 3-3.49	Other	I pad/ Tablet	1-3 	3-6	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Uncertain	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Disagree	1
207	6-12-20 22:02:44	6-12-20 22:05:37	anonymous		Male	Third/Junior	18-24	80-89 / 3-3.49	Mobile phone	Mobile phone	1-3 	3-6	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Disagree	Uncertain	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
208	6-12-20 22:06:23	6-12-20 22:10:24	anonymous		Female	Second/ Sophomore	18-24	70-79 / 2.5-299	Mobile phone	Mobile phone	1-3 	1-3 	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Uncertain	Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	"Agree	"	"Agree	"	"Agree	"	Agree	Strongly Agree	Agree	Agree	Agree	Uncertain	Agree	Agree	Agree	1
209	6-12-20 22:09:01	6-12-20 22:12:52	anonymous		Female	Second/ Sophomore	18-24	80-89 / 3-3.49	Other	Laptop	1-3 	9-12	Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Disagree	Uncertain	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
210	6-12-20 22:09:27	6-12-20 22:13:14	anonymous		Female	First/Freshman	18-24	70-79 / 2.5-299	Laptop	Laptop	3-6	+12	Uncertain	Strongly Agree	Agree	Agree	Strongly Agree	Disagree	Uncertain	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	"Agree	"	"Uncertain	"	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
211	6-12-20 22:11:17	6-12-20 22:14:23	anonymous		Female	Third/Junior	18-24	70-79 / 2.5-299	Laptop	Laptop	1-3 	9-12	Uncertain	Agree	Uncertain	Agree	Strongly Agree	Disagree	Disagree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Disagree	Agree	Disagree	Strongly Disagree	1
212	6-12-20 22:14:03	6-12-20 22:18:28	anonymous		Female	Fourth/Senior	18-24	70-79 / 2.5-299	Other	Personal Computer	1-3 	3-6	Disagree	Agree	Strongly Agree	Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
213	6-12-20 22:10:20	6-12-20 22:18:32	anonymous		Female	Fourth/Senior	18-24	80-89 / 3-3.49	Other	Laptop	1-3 	6-9	Uncertain	Agree	Disagree	Agree	Agree	Uncertain	Disagree	Disagree	Uncertain	Strongly Agree	"Agree	"	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Uncertain	1
214	6-12-20 22:15:27	6-12-20 22:18:33	anonymous		Male	Third/Junior	18-24	60-69 / 2-2.49	Laptop	Laptop	1-3 	3-6	Disagree	Agree	Uncertain	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
215	6-12-20 22:13:31	6-12-20 22:19:07	anonymous		Female	First/Freshman	18-24	+90 / +3.5	Other	Mobile phone	1-3 	6-9	Disagree	Agree	Uncertain	Uncertain	Agree	Agree	Disagree	Uncertain	Strongly Agree	Strongly Agree	"Agree	"	"Agree	"	"Uncertain	"	"Uncertain	"	Agree	Agree	Agree	Agree	Uncertain	Agree	Disagree	Agree	Disagree	0
216	6-12-20 22:16:28	6-12-20 22:19:45	anonymous		Male	Second/ Sophomore	18-24	+90 / +3.5	Personal Computer	Personal Computer	1-3 	3-6	Disagree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	1
217	6-12-20 22:17:16	6-12-20 22:20:32	anonymous		Male	Fourth/Senior	18-24	70-79 / 2.5-299	Mobile phone	Mobile phone	1-3 	3-6	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Disagree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	1
218	6-12-20 22:01:52	6-12-20 22:23:24	anonymous		Male	Third/Junior	25-30	60-69 / 2-2.49	Mobile phone	Mobile phone	+12	9-12	Uncertain	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Disagree	Disagree	Disagree	Strongly Agree	Disagree	Disagree	Disagree	Uncertain	Strongly Agree	Strongly Agree	Disagree	Disagree	Disagree	Disagree	Strongly Agree	Disagree	0
219	6-12-20 22:20:30	6-12-20 22:24:03	anonymous		Female	First/Freshman	18-24	80-89 / 3-3.49	Mobile phone	Mobile phone	1-3 	6-9	Agree	Strongly Agree	Strongly Agree	Uncertain	Agree	Strongly Disagree	Uncertain	Strongly Agree	Agree	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
220	6-12-20 22:26:02	6-12-20 22:28:43	anonymous		Female	Second/ Sophomore	18-24	70-79 / 2.5-299	Mobile phone	Mobile phone	3-6	6-9	Agree	Agree	Disagree	Disagree	Agree	Agree	Agree	Agree	Uncertain	Uncertain	"Agree	"	"Agree	"	"Agree	"	"Agree	"	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	0
221	6-12-20 22:24:43	6-12-20 22:29:00	anonymous		Male	Second/ Sophomore	18-24	70-79 / 2.5-299	Other	Mobile phone	1-3 	6-9	Disagree	Agree	Agree	Strongly Agree	Uncertain	Uncertain	Uncertain	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	"Agree	"	Strongly Agree	Strongly Agree	Agree	Uncertain	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	1
222	6-12-20 22:21:47	6-12-20 22:29:20	anonymous		Female	Second/ Sophomore	+30	+90 / +3.5	Mobile phone	Mobile phone	3-6	1-3 	Agree	Agree	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	"Agree	"	Disagree	"Uncertain	"	"Uncertain	"	Uncertain	Agree	Agree	Uncertain	Uncertain	Uncertain	Uncertain	Agree	Uncertain	0
223	6-12-20 22:25:29	6-12-20 22:30:03	anonymous		Female	Third/Junior	18-24	70-79 / 2.5-299	Mobile phone	Mobile phone	1-3 	3-6	Disagree	Disagree	Strongly Agree	Strongly Agree	Agree	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
224	6-12-20 22:26:18	6-12-20 22:30:19	anonymous		Female	Third/Junior	18-24	80-89 / 3-3.49	Mobile phone	Laptop	3-6	6-9	Agree	Strongly Agree	Agree	Strongly Agree	Disagree	Agree	Disagree	Agree	Agree	Strongly Agree	Disagree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	1
225	6-12-20 22:24:56	6-12-20 22:30:41	anonymous		Female	Second/ Sophomore	25-30	+90 / +3.5	Laptop	Laptop	1-3 	6-9	Agree	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	Disagree	Uncertain	Agree	Agree	Strongly Agree	"Agree	"	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Uncertain	Agree	Uncertain	Agree	Strongly Agree	Uncertain	1
226	6-12-20 22:29:31	6-12-20 22:31:26	anonymous		Female	First/Freshman	18-24	80-89 / 3-3.49	Laptop	Mobile phone	6-9	9-12	Strongly Agree	Strongly Agree	Uncertain	Agree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
227	6-12-20 22:28:56	6-12-20 22:31:39	anonymous		Female	First/Freshman	18-24	70-79 / 2.5-299	Laptop	Laptop	1-3 	1-3 	Agree	Uncertain	Strongly Agree	Strongly Agree	Agree	Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
228	6-12-20 22:26:40	6-12-20 22:34:16	anonymous		Female	Fourth/Senior	18-24	70-79 / 2.5-299	Mobile phone	Laptop	1-3 	6-9	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Strongly Agree	Disagree	Strongly Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	1
229	6-12-20 22:31:48	6-12-20 22:35:15	anonymous		Female	Third/Junior	25-30	80-89 / 3-3.49	Mobile phone	Laptop	3-6	6-9	Uncertain	Strongly Agree	Uncertain	Uncertain	Strongly Agree	Strongly Disagree	Disagree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	"Agree	"	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
230	6-12-20 22:33:27	6-12-20 22:36:56	anonymous		Female	First/Freshman	18-24	+90 / +3.5	Laptop	Laptop	1-3 	6-9	Agree	Strongly Agree	Uncertain	Uncertain	Strongly Agree	Strongly Disagree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Uncertain	"	"Uncertain	"	Disagree	"Agree	"	Agree	Agree	Agree	Strongly Agree	Agree	Strongly Agree	Uncertain	Agree	Agree	1
231	6-12-20 22:35:09	6-12-20 22:37:53	anonymous		Female	First/Freshman	18-24	+90 / +3.5	Other	Other	1-3 	1-3 	Uncertain	Uncertain	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Uncertain	1
232	6-12-20 22:28:22	6-12-20 22:38:57	anonymous		Female	Second/ Sophomore	18-24	70-79 / 2.5-299	Mobile phone	Laptop	3-6	6-9	Uncertain	Uncertain	Agree	Agree	Agree	Disagree	Disagree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Agree	Uncertain	1
233	6-12-20 22:36:05	6-12-20 22:39:13	anonymous		Female	Third/Junior	+30	80-89 / 3-3.49	Mobile phone	Mobile phone	1-3 	6-9	Agree	Agree	Disagree	Disagree	Disagree	Agree	Disagree	Disagree	Agree	Strongly Agree	Disagree	"Agree	"	Disagree	Disagree	Agree	Agree	Strongly Agree	Uncertain	Agree	Disagree	Agree	Uncertain	Disagree	1
234	6-12-20 22:29:00	6-12-20 22:40:04	anonymous		Female	Third/Junior	18-24	80-89 / 3-3.49	Mobile phone	Laptop	1-3 	9-12	Agree	Strongly Agree	Uncertain	Agree	Strongly Agree	Strongly Disagree	Uncertain	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Uncertain	"	Strongly Agree	Strongly Agree	Strongly Agree	Uncertain	Uncertain	Agree	Strongly Agree	Agree	Agree	0
235	6-12-20 22:29:15	6-12-20 22:40:57	anonymous		Female	Third/Junior	18-24	80-89 / 3-3.49	Mobile phone	Mobile phone	1-3 	3-6	Uncertain	Agree	Uncertain	Uncertain	Agree	Uncertain	Disagree	Agree	Disagree	Agree	"Uncertain	"	"Agree	"	"Agree	"	"Agree	"	Agree	Agree	Strongly Agree	Agree	Agree	Agree	Uncertain	Agree	Agree	1
236	6-12-20 22:40:41	6-12-20 22:43:16	anonymous		Female	Third/Junior	18-24	+90 / +3.5	Laptop	Laptop	6-9	3-6	Strongly Agree	Strongly Agree	Disagree	Disagree	Strongly Agree	Strongly Agree	Disagree	Disagree	Uncertain	Agree	"Agree	"	"Uncertain	"	"Agree	"	"Uncertain	"	Uncertain	Agree	Agree	Uncertain	Uncertain	Agree	Uncertain	Strongly Agree	Disagree	0
237	6-12-20 22:23:23	6-12-20 22:43:28	anonymous		Male	Second/ Sophomore	25-30	60-69 / 2-2.49	Mobile phone	Mobile phone	1-3 	9-12	Agree	Agree	Disagree	Disagree	Agree	Disagree	Agree	Agree	Agree	Agree	"Agree	"	"Agree	"	"Agree	"	"Agree	"	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	1
238	6-12-20 22:42:26	6-12-20 22:46:33	anonymous		Female	Second/ Sophomore	18-24	80-89 / 3-3.49	Mobile phone	Laptop	1-3 	1-3 	Disagree	Agree	Agree	Agree	Agree	Disagree	Disagree	Disagree	Agree	Strongly Agree	"Agree	"	"Uncertain	"	Strongly Agree	"Agree	"	Agree	Strongly Agree	Agree	Strongly Agree	Agree	Strongly Agree	Uncertain	Strongly Agree	Uncertain	1
239	6-12-20 22:43:51	6-12-20 22:47:34	anonymous		Female	Other	18-24	+90 / +3.5	I pad/ Tablet	I pad/ Tablet	3-6	9-12	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Uncertain	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	"Uncertain	"	"Agree	"	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	1
240	6-12-20 22:51:08	6-12-20 22:52:22	anonymous		Male	Second/ Sophomore	18-24	70-79 / 2.5-299	Other	Laptop	1-3 	3-6	Agree	Agree	Agree	Agree	Agree	Strongly Agree	Agree	Agree	Agree	Agree	"Agree	"	"Agree	"	"Agree	"	"Agree	"	Agree	Agree	Strongly Agree	Strongly Agree	Uncertain	Agree	Strongly Agree	Uncertain	Uncertain	0
241	6-12-20 22:50:44	6-12-20 22:55:26	anonymous		Female	Fourth/Senior	18-24	80-89 / 3-3.49	Mobile phone	Laptop	1-3 	9-12	Disagree	Strongly Agree	Uncertain	Disagree	Agree	Disagree	Uncertain	Agree	Disagree	Agree	"Uncertain	"	"Agree	"	"Agree	"	"Agree	"	Agree	Strongly Agree	Strongly Agree	Agree	Agree	Agree	Agree	Agree	Agree	1
242	6-12-20 22:52:01	6-12-20 22:56:35	anonymous		Female	Second/ Sophomore	18-24	80-89 / 3-3.49	Mobile phone	Laptop	9-12	+12	Uncertain	Disagree	Uncertain	Agree	Strongly Agree	Uncertain	Disagree	Disagree	Strongly Agree	Strongly Agree	Disagree	"Agree	"	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Agree	Uncertain	Strongly Agree	Strongly Agree	1
243	6-12-20 22:55:51	6-12-20 23:00:29	anonymous		Male	Second/ Sophomore	18-24	80-89 / 3-3.49	Laptop	Laptop	3-6	6-9	Uncertain	Strongly Agree	Uncertain	Agree	Uncertain	Uncertain	Uncertain	Strongly Agree	Agree	Agree	"Uncertain	"	"Agree	"	"Agree	"	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	1
244	6-12-20 22:55:43	6-12-20 23:02:44	anonymous		Female	Second/ Sophomore	25-30	70-79 / 2.5-299	Laptop	Laptop	1-3 	3-6	Agree	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	"Agree	"	Disagree	"Agree	"	Agree	Strongly Agree	Uncertain	Disagree	Agree	Disagree	Strongly Agree	Agree	Strongly Agree	1
245	6-12-20 22:55:43	6-12-20 23:02:44	anonymous		Female	Second/ Sophomore	25-30	70-79 / 2.5-299	Laptop	Laptop	1-3 	3-6	Agree	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	"Agree	"	Disagree	"Agree	"	Agree	Strongly Agree	Uncertain	Disagree	Agree	Disagree	Strongly Agree	Agree	Strongly Agree	1
246	6-12-20 23:00:28	6-12-20 23:04:08	anonymous		Female	Fourth/Senior	18-24	80-89 / 3-3.49	Laptop	Laptop	1-3 	3-6	Agree	Strongly Agree	Uncertain	Uncertain	Strongly Agree	Strongly Disagree	Uncertain	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	"Agree	"	Strongly Agree	"Uncertain	"	Agree	Strongly Agree	Strongly Agree	Uncertain	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	0
247	6-12-20 22:59:12	6-12-20 23:05:18	anonymous		Female	First/Freshman	+30	+90 / +3.5	Mobile phone	Mobile phone	9-12	9-12	Disagree	Disagree	Agree	Agree	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Uncertain	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
248	6-12-20 23:04:30	6-12-20 23:07:38	anonymous		Female	Second/ Sophomore	18-24	80-89 / 3-3.49	Mobile phone	Laptop	3-6	6-9	Uncertain	Strongly Agree	Uncertain	Uncertain	Strongly Agree	Strongly Agree	Agree	Agree	Uncertain	Uncertain	"Uncertain	"	"Uncertain	"	"Uncertain	"	"Uncertain	"	Uncertain	Agree	Agree	Disagree	Uncertain	Disagree	Uncertain	Strongly Disagree	Strongly Disagree	0
249	6-12-20 22:57:21	6-12-20 23:08:04	anonymous		Female	Second/ Sophomore	18-24	+90 / +3.5	Laptop	Laptop	3-6	1-3 	Strongly Agree	Agree	Strongly Agree	Agree	Strongly Agree	Disagree	Strongly Agree	Uncertain	Strongly Agree	Agree	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Agree	Agree	1
250	6-12-20 23:06:09	6-12-20 23:08:18	anonymous		Female	Second/ Sophomore	18-24	80-89 / 3-3.49	Mobile phone	Laptop	1-3 	6-9	Uncertain	Strongly Agree	Disagree	Strongly Agree	Agree	Disagree	Uncertain	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	"Agree	"	"Agree	"	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
251	6-12-20 23:05:15	6-12-20 23:09:46	anonymous		Female	Fourth/Senior	25-30	60-69 / 2-2.49	Mobile phone	Mobile phone	1-3 	6-9	Uncertain	Strongly Agree	Uncertain	Strongly Agree	Agree	Disagree	Uncertain	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	"Agree	"	Disagree	"Agree	"	Agree	Strongly Agree	Agree	Disagree	Agree	Strongly Disagree	Uncertain	Strongly Disagree	Agree	1
252	6-12-20 23:08:03	6-12-20 23:11:13	anonymous		Female	Second/ Sophomore	18-24	70-79 / 2.5-299	Mobile phone	Mobile phone	1-3 	1-3 	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Uncertain	Uncertain	Agree	Strongly Agree	Uncertain	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
253	6-12-20 23:06:22	6-12-20 23:11:40	anonymous		Female	Fourth/Senior	18-24	80-89 / 3-3.49	Other	Laptop	1-3 	6-9	Uncertain	Uncertain	Agree	Agree	Strongly Agree	Uncertain	Uncertain	Agree	Agree	Strongly Agree	"Agree	"	"Agree	"	"Agree	"	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Agree	1
254	6-12-20 22:49:29	6-12-20 23:12:33	anonymous		Female	Second/ Sophomore	25-30	80-89 / 3-3.49	Laptop	Laptop	1-3 	3-6	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Disagree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	"Uncertain	"	"Uncertain	"	"Uncertain	"	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
255	6-12-20 23:09:57	6-12-20 23:12:51	anonymous		Male	First/Freshman	18-24	80-89 / 3-3.49	Laptop	Laptop	1-3 	1-3 	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Agree	Strongly Agree	"Uncertain	"	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Disagree	0
256	6-12-20 23:10:05	6-12-20 23:12:55	anonymous		Female	Third/Junior	18-24	70-79 / 2.5-299	Laptop	Mobile phone	1-3 	3-6	Uncertain	Strongly Agree	Uncertain	Strongly Agree	Agree	Strongly Agree	Uncertain	Strongly Agree	Uncertain	Strongly Agree	"Agree	"	"Agree	"	"Agree	"	"Agree	"	Agree	Agree	Strongly Agree	Strongly Agree	Agree	Agree	Agree	Strongly Agree	Agree	1
257	6-12-20 23:11:14	6-12-20 23:14:16	anonymous		Female	First/Freshman	18-24	80-89 / 3-3.49	Mobile phone	Laptop	1-3 	3-6	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	1
